time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
257,53,237,50.0,-49.48,0.02,12850,,,,2849,0.000995717,0.5287516117095947,-7.966650485992432,0.06289608776569366,3.7109687328338623
258,54,238,50.0,-49.48,0.02,12900,,,,2899,0.0009957003333333333,0.18771862983703613,-7.850314140319824,0.060052160173654556,3.6314449310302734
259,54,239,50.0,-49.48,0.02,12950,,,,2949,0.0009956836666666666,0.3150849938392639,-7.823812961578369,0.05734262615442276,3.672602415084839
260,54,240,50.0,-49.48,0.02,13000,,,,2999,0.000995667,0.25540289282798767,-8.492966651916504,0.054754339158535004,3.936168670654297
261,54,241,50.0,-49.48,0.02,13050,,,,3049,0.0009956503333333334,0.3631923794746399,-8.691635131835938,0.05225394293665886,3.6771790981292725
262,54,241,50.0,-49.48,0.02,13100,,,,3099,0.0009956336666666666,0.15473788976669312,-8.340500831604004,0.049891479313373566,4.248629570007324
263,54,242,50.0,-49.48,0.02,13150,,,,3149,0.000995617,0.1390395164489746,-8.32828140258789,0.04766364023089409,4.178186893463135
264,54,243,50.0,-49.48,0.02,13200,,,,3199,0.0009956003333333333,0.24993905425071716,-8.294267654418945,0.04550965130329132,4.182143688201904
265,54,244,50.0,-49.48,0.02,13250,,,,3249,0.0009955836666666667,0.2041865885257721,-9.100865364074707,0.04348689317703247,3.7815229892730713
266,54,245,50.0,-49.48,0.02,13300,,,,3299,0.000995567,0.2420581579208374,-8.758965492248535,0.04155156761407852,3.886914014816284
267,54,245,50.0,-49.48,0.02,13350,,,,3349,0.0009955503333333334,0.18586087226867676,-8.852975845336914,0.0397033654153347,4.109219074249268
268,54,246,50.0,-49.48,0.02,13400,,,,3399,0.0009955336666666666,0.23655462265014648,-9.127752304077148,0.03797391057014465,4.075070381164551
269,54,247,50.0,-49.48,0.02,13450,,,,3449,0.000995517,0.328976571559906,-8.943574905395508,0.03632475063204765,4.4621663093566895
270,54,248,50.0,-49.5,0.01,13500,,,,3499,0.0009955003333333334,0.3266916275024414,-8.0671968460083,0.03470831736922264,4.753452777862549
271,54,248,50.0,-49.5,0.01,13550,,,,3549,0.0009954836666666667,0.1475372612476349,-8.511744499206543,0.033197954297065735,4.422840118408203
272,54,249,50.0,-49.5,0.01,13600,,,,3599,0.000995467,0.15935030579566956,-8.321257591247559,0.031769827008247375,4.511861324310303
273,54,250,50.0,-49.5,0.01,13650,,,,3649,0.0009954503333333333,0.16813924908638,-8.189016342163086,0.03040904924273491,4.719491004943848
274,54,251,50.0,-49.5,0.01,13700,,,,3699,0.0009954336666666667,0.2549769878387451,-9.307432174682617,0.02904476411640644,4.675007343292236
275,54,252,50.0,-49.5,0.01,13750,,,,3749,0.000995417,0.22936660051345825,-8.52472972869873,0.02777669206261635,4.835923671722412
276,54,252,50.0,-49.5,0.01,13800,,,,3799,0.0009954003333333334,0.22540217638015747,-9.042682647705078,0.026510298252105713,4.667062759399414
277,54,253,50.0,-49.5,0.01,13850,,,,3849,0.0009953836666666666,0.2442215234041214,-9.24416732788086,0.025356600061058998,4.677438735961914
