rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,53,250,12500,-50.0,0.0,234,,,,0.000987501,0.08915486931800842,0.32626834511756897,2499,2.8035976886749268,-7.238381385803223
50.0,53,251,12550,-50.0,0.0,234,,,,0.000987451,0.08508514612913132,0.22439485788345337,2549,2.8817992210388184,-7.406064987182617
50.0,53,252,12600,-50.0,0.0,235,,,,0.000987401,0.08123260736465454,0.16408312320709229,2599,3.2214572429656982,-7.458631992340088
50.0,53,253,12650,-50.0,0.0,236,,,,0.000987351,0.07754763960838318,0.21685925126075745,2649,2.919254779815674,-7.374700546264648
50.0,53,254,12700,-50.0,0.0,237,,,,0.000987301,0.07403316348791122,0.186526358127594,2699,3.4719929695129395,-7.198355197906494
50.0,53,255,12750,-50.0,0.0,238,,,,0.000987251,0.07070507854223251,0.5137864351272583,2749,3.3284943103790283,-7.8277058601379395
50.0,53,256,12800,-50.0,0.0,238,,,,0.000987201,0.06753438711166382,0.1612667590379715,2799,3.2261555194854736,-8.173398971557617
50.0,53,257,12850,-50.0,0.0,239,,,,0.000987151,0.06449415534734726,0.12460984289646149,2849,3.7273950576782227,-8.357606887817383
50.0,53,258,12900,-50.0,0.0,240,,,,0.000987101,0.06157775595784187,0.63422691822052,2899,3.7889537811279297,-7.562196731567383
50.0,53,259,12950,-50.0,0.0,241,,,,0.000987051,0.058825816959142685,0.3156309723854065,2949,3.697507858276367,-7.755083084106445
50.0,53,260,13000,-50.0,0.0,242,,,,0.000987001,0.05619147792458534,0.3320346474647522,2999,3.949735641479492,-7.88908576965332
50.0,53,261,13050,-50.0,0.0,242,,,,0.000986951,0.05366654694080353,0.12294729799032211,3049,3.6961238384246826,-8.204761505126953
50.0,53,262,13100,-50.0,0.0,243,,,,0.000986901,0.05128351226449013,0.6819649338722229,3099,3.9161016941070557,-7.740299224853516
50.0,53,263,13150,-50.0,0.0,244,,,,0.000986851,0.049054741859436035,0.09658142924308777,3149,3.9718759059906006,-8.453573226928711
50.0,53,264,13200,-50.0,0.0,245,,,,0.000986801,0.04691994935274124,0.12259690463542938,3199,3.88257098197937,-8.68235969543457
50.0,53,265,13250,-50.0,0.0,246,,,,0.0009867510000000001,0.044876210391521454,0.14723153412342072,3249,3.9509947299957275,-8.959689140319824
50.0,53,266,13300,-50.0,0.0,246,,,,0.000986701,0.042895134538412094,0.12715739011764526,3299,4.503105640411377,-8.064632415771484
50.0,53,267,13350,-50.0,0.0,247,,,,0.000986651,0.041049741208553314,0.19734814763069153,3349,4.527132987976074,-8.994489669799805
50.0,53,268,13400,-50.0,0.0,248,,,,0.000986601,0.03922542184591293,0.13852085173130035,3399,4.173036575317383,-8.707329750061035
50.0,53,269,13450,-50.0,0.0,249,,,,0.000986551,0.037482745945453644,0.5630875825881958,3449,4.563617706298828,-8.297197341918945
50.0,54,270,13500,-50.0,0.0,249,,,,0.000986501,0.0358545184135437,0.16464132070541382,3499,4.596499919891357,-7.654356479644775
50.0,54,271,13550,-50.0,0.0,250,,,,0.000986451,0.034276872873306274,0.24162715673446655,3549,4.516430854797363,-9.080218315124512
50.0,54,272,13600,-50.0,0.0,251,,,,0.000986401,0.03274521231651306,0.22249363362789154,3599,4.630172252655029,-8.682548522949219
50.0,54,273,13650,-50.0,0.0,252,,,,0.000986351,0.03132415562868118,0.22638791799545288,3649,4.426976203918457,-9.006673812866211
50.0,54,274,13700,-50.0,0.0,253,,,,0.000986301,0.029978040605783463,0.12554997205734253,3699,4.480453014373779,-9.6981201171875
50.0,54,275,13750,-50.0,0.0,254,,,,0.000986251,0.02868505008518696,0.10351553559303284,3749,4.621278285980225,-9.04583740234375
50.0,54,276,13800,-50.0,0.0,254,,,,0.000986201,0.027511298656463623,0.16074752807617188,3799,4.383452415466309,-8.753533363342285
50.0,54,277,13850,-50.0,0.0,255,,,,0.000986151,0.026333974674344063,0.10636280477046967,3849,4.758553504943848,-9.347114562988281
50.0,54,278,13900,-50.0,0.0,256,,,,0.000986101,0.025193259119987488,0.16408702731132507,3899,4.45822286605835,-9.281678199768066
50.0,54,279,13950,-50.0,0.0,257,,,,0.000986051,0.024125006049871445,0.1391172707080841,3949,4.586526393890381,-9.619139671325684
